tractcode,pcat_all,pcat_25x0
abcdefghijk,5,5
01001020100,5,5
01001020200,5,5
01001020300,5,5
01001020400,5,5
01001020501,5,5
01001020502,5,5
01001020503,5,4
01001020600,5,5
01001020700,5,5
01001020801,5,5
01001020803,5,4
01001020804,5,5
01001020805,5,5
01001020901,5,5
01001020902,5,5
01001021000,4,4
01001021100,4,4
01003010100,4,3
01003010200,3,2
01003010300,5,4
01003010400,4,3
01003010500,5,4
01003010600,4,3
01003010704,5,5
01003010706,5,5
01003010707,5,5
01003010708,5,5
01003010709,5,5
01003010710,5,5
01003010711,5,5
01003010800,5,5
01003010903,5,4
01003010904,5,3
01003010906,5,4
01003010907,5,4
01003010908,5,4
01003011000,5,3
01003011102,5,4
01003011103,5,5
01003011104,5,5
01003011201,5,5
01003011202,5,5
01003011300,5,5
01003011409,5,3
01003011410,4,3
01003011411,4,3
01003011412,5,5
01003011413,5,4
01003011414,5,5
01003011415,5,5
01003011416,5,5
01003011417,5,5
01003011418,5,5
01003011419,5,5
01003011501,2,2
01003011503,3,2
01003011504,3,2
01003011601,4,3
01003011603,5,5
01003011604,5,5
01005950100,5,5
01005950200,4,2
01005950300,4,3
01005950400,5,5
01005950500,4,4
01005950600,5,5
01005950700,5,5
01005950800,5,4
01005950900,5,5
01007010001,4,3
01007010005,5,4
01007010006,5,4
01007010007,4,2
01007010008,3,2
01007010009,3,1
01007010010,3,2
01007010011,3,2
01009050103,4,4
01009050104,4,4
01009050105,4,4
01009050106,4,4
01009050107,5,5
01009050200,4,4
01009050301,4,3
01009050302,3,2
01009050400,4,2
01009050501,4,3
01009050502,4,3
01009050601,5,5
01009050603,5,4
01009050604,5,4
01009050701,4,3
01009050702,5,3
01011952100,4,3
01011952201,4,3
01011952202,4,3
01011952500,5,4
01013952700,5,5
01013952800,5,5
01013952900,5,5
01013953000,5,3
01013953100,5,4
01013953200,5,5
01013953300,5,3
01013953400,5,3
01013953500,4,2
01015000200,5,5
01015000300,4,2
01015000400,4,3
01015000500,4,2
01015000600,3,2
01015000700,5,4
01015000800,4,4
01015000900,5,5
01015001000,5,5
01015001101,5,4
01015001102,5,5
01015001103,5,4
01015001201,5,4
01015001202,4,4
01015001300,4,4
01015001400,5,5
01015001501,5,5
01015001502,5,5
01015001600,4,4
01015001700,5,5
01015001801,5,5
01015001802,5,5
01015002001,5,5
01015002002,5,4
01015002101,3,2
01015002102,5,4
01015002104,5,5
01015002105,4,3
01015002200,5,4
01015002300,5,4
01015002400,4,3
01015002502,4,4
01015002503,5,5
01015002504,5,5
01015002600,5,5
01015981901,0,0
01015981902,0,0
01015981903,0,0
01017953800,4,3
01017953900,5,5
01017954001,4,3
01017954002,5,5
01017954200,5,5
01017954300,5,5
01017954600,5,5
01017954700,5,5
01017954800,5,5
01019955701,5,3
01019955702,5,3
01019955801,5,3
01019955802,5,3
01019955900,5,4
01019956000,5,4
01019956101,4,3
01019956102,5,3
01021060101,4,3
01021060103,5,3
01021060104,5,3
01021060200,5,4
01021060300,5,4
01021060401,5,3
01021060403,5,5
01021060404,4,3
01021060500,4,3
01021060600,4,4
01021060701,5,4
01021060702,4,3
01023956700,3,2
01023956800,4,2
01023956900,4,3
01023957000,4,1
01025957500,4,3
01025957601,4,3
01025957603,5,5
01025957604,5,3
01025957700,3,3
01025957800,4,2
01025957901,4,3
01025957902,5,3
01025958003,4,2
01027958900,4,3
01027959000,4,3
01027959100,4,2
01027959200,4,3
01029959500,3,2
01029959600,2,1
01029959700,4,2
01029959800,4,2
01031010100,4,3
01031010200,4,3
01031010300,5,5
01031010400,4,3
01031010500,3,2
01031010600,4,4
01031010700,5,4
01031010800,5,5
01031010900,5,5
01031011000,5,5
01031011100,5,5
01031011203,5,5
01031011204,5,5
01031011205,5,5
01031011206,5,5
01031011300,4,4
01033020100,5,4
01033020200,5,5
01033020300,4,3
01033020400,5,5
01033020500,5,5
01033020600,5,5
01033020703,5,5
01033020704,5,5
01033020705,5,5
01033020706,5,5
01033020801,4,4
01033020802,4,3
01033020901,4,4
01033020902,5,5
01033021000,5,4
01035960200,4,3
01035960300,4,2
01035960400,4,2
01035960500,4,2
01035960600,4,3
01037961000,5,5
01037961100,5,5
01037961200,5,5
01039961600,5,5
01039961700,5,5
01039961800,5,4
01039961900,5,4
01039962000,5,4
01039962100,5,5
01039962300,5,5
01039962400,4,4
01039962500,5,4
01039962600,4,4
01039962700,4,3
01039962800,5,5
01039962900,5,5
01039963000,5,4
01041963400,4,4
01041963500,4,4
01041963600,4,3
01041963700,5,4
01041963800,5,3
01041963900,4,2
01043964100,4,3
01043964201,5,4
01043964202,5,5
01043964300,5,5
01043964400,5,5
01043964500,4,4
01043964600,5,4
01043964700,5,5
01043964800,4,4
01043964901,5,5
01043964902,5,5
01043965001,5,5
01043965002,4,4
01043965100,5,5
01043965200,5,4
01043965300,5,4
01043965401,5,4
01043965402,4,4
01043965501,3,2
01043965502,5,5
01043965600,5,5
01043965700,3,3
01045020000,5,5
01045020100,5,5
01045020200,3,3
01045020300,4,3
01045020400,5,5
01045020500,5,4
01045020700,4,3
01045020801,5,5
01045020802,4,3
01045021101,5,4
01045021102,5,5
01045021200,5,4
01045021300,4,4
01045021400,5,5
01047956101,5,5
01047956102,4,3
01047956201,4,4
01047956202,4,4
01047956300,5,5
01047956400,4,4
01047956500,3,3
01047956600,5,4
01047956701,4,4
01047956702,4,4
01047956800,5,5
01047956900,4,2
01047957000,4,3
01047957100,2,1
01047957200,5,5
01047957301,4,4
01047957302,4,3
01049960101,5,5
01049960102,5,5
01049960200,5,5
01049960301,4,4
01049960302,4,4
01049960303,5,5
01049960401,5,5
01049960402,5,5
01049960500,4,4
01049960601,5,5
01049960602,5,5
01049960701,5,5
01049960702,4,3
01049960703,5,5
01049960800,4,2
01049960900,4,4
01049961000,4,4
01049961100,5,5
01049961200,5,5
01049961300,4,4
01049961400,5,5
01051030101,5,5
01051030102,5,5
01051030103,4,4
01051030200,5,5
01051030300,5,5
01051030401,4,4
01051030402,5,5
01051030500,5,5
01051030600,5,5
01051030701,5,5
01051030702,5,5
01051030801,5,5
01051030802,5,5
01051030901,5,5
01051030902,5,5
01051031001,5,5
01051031002,5,4
01051031100,5,5
01051031200,5,5
01051031300,5,5
01053969801,4,3
01053969802,4,3
01053969900,4,3
01053970100,5,4
01053970200,5,3
01053970300,4,4
01053970400,3,2
01053970500,4,2
01053970600,4,2
01053970700,5,4
01055000200,5,5
01055000300,5,4
01055000400,5,5
01055000500,5,5
01055000600,5,5
01055000700,5,5
01055000800,4,3
01055000900,5,5
01055001000,5,5
01055001100,5,5
01055001200,5,5
01055001300,5,4
01055001600,5,5
01055001700,5,5
01055010100,4,3
01055010201,5,4
01055010202,4,4
01055010300,4,4
01055010401,4,4
01055010402,5,5
01055010503,5,5
